workout_date,work_titles,exercise_number,exercise_name,set,weight,reps,volume
2021-11-07,LEGS,2,DEADLIFT,2,165,8,1320
2021-11-07,LEGS,2,DEADLIFT,3,175,8,1400
2021-11-07,LEGS,2,DEADLIFT,4,175,8,1400
2021-11-07,LEGS,2,DEADLIFT,5,175,8,1400
2021-11-07,LEGS,3,HIP THRUSTERS,1,0,10,0
2021-11-07,LEGS,3,HIP THRUSTERS,2,0,10,0
2021-11-07,LEGS,3,HIP THRUSTERS,3,0,10,0
2021-11-07,LEGS,3,HIP THRUSTERS,4,0,10,0
2021-11-07,LEGS,3,HIP THRUSTERS,5,0,0,0
2021-11-07,LEGS,4.1,LEG EXTENSION,1,55,12,660
2021-11-07,LEGS,4.1,LEG EXTENSION,2,60,12,720
2021-11-07,LEGS,4.1,LEG EXTENSION,3,65,12,780
2021-11-07,LEGS,4.1,LEG EXTENSION,4,70,12,840
2021-11-07,LEGS,4.1,LEG EXTENSION,5,0,0,0
2021-11-07,LEGS,4.2,SEATED LEG CURL,1,135,12,1620
2021-11-07,LEGS,4.2,SEATED LEG CURL,2,140,12,1680
2021-11-07,LEGS,4.2,SEATED LEG CURL,3,145,12,1740
2021-11-07,LEGS,4.2,SEATED LEG CURL,4,150,8,1200
2021-11-07,LEGS,4.2,SEATED LEG CURL,5,0,0,0
2021-11-08,LATS AND SHOULDERS,1.1,LAT PULLDOWN,1,80,12,960
2021-11-08,LATS AND SHOULDERS,1.1,LAT PULLDOWN,2,90,12,1080
2021-11-08,LATS AND SHOULDERS,1.1,LAT PULLDOWN,3,100,8,800
2021-11-08,LATS AND SHOULDERS,1.1,LAT PULLDOWN,4,95,11,1045
2021-11-08,LATS AND SHOULDERS,1.1,LAT PULLDOWN,5,95,10,950
2021-11-08,LATS AND SHOULDERS,1.2,STANDING SHOULDER PRESS,1,50,12,600
2021-11-08,LATS AND SHOULDERS,1.2,STANDING SHOULDER PRESS,2,60,12,720
2021-11-08,LATS AND SHOULDERS,1.2,STANDING SHOULDER PRESS,3,70,10,700
2021-11-08,LATS AND SHOULDERS,1.2,STANDING SHOULDER PRESS,4,70,9,630
2021-11-08,LATS AND SHOULDERS,1.2,STANDING SHOULDER PRESS,5,70,8,560
2021-11-08,LATS AND SHOULDERS,2.1,LAT PULLDOWN NARROW,1,90,10,900
2021-11-08,LATS AND SHOULDERS,2.1,LAT PULLDOWN NARROW,2,90,12,1080
2021-11-08,LATS AND SHOULDERS,2.1,LAT PULLDOWN NARROW,3,100,9,900
2021-11-08,LATS AND SHOULDERS,2.1,LAT PULLDOWN NARROW,4,100,10,1000
2021-11-08,LATS AND SHOULDERS,2.2,SEATED DUMBBELL PRESS,1,60,11,660
2021-11-08,LATS AND SHOULDERS,2.2,SEATED DUMBBELL PRESS,2,60,12,720
2021-11-08,LATS AND SHOULDERS,2.2,SEATED DUMBBELL PRESS,3,70,9,630
2021-11-08,LATS AND SHOULDERS,2.2,SEATED DUMBBELL PRESS,4,70,8,560
2021-11-08,LATS AND SHOULDERS,3.1,STRAIGHT ARM PULL DOWN,1,80,12,960
2021-11-08,LATS AND SHOULDERS,3.1,STRAIGHT ARM PULL DOWN,2,90,11,990
2021-11-08,LATS AND SHOULDERS,3.1,STRAIGHT ARM PULL DOWN,3,90,10,900
2021-11-08,LATS AND SHOULDERS,3.1,STRAIGHT ARM PULL DOWN,4,90,8,720
2021-11-08,LATS AND SHOULDERS,3.2,FRONT ARM RAISE,1,20,12,240
2021-11-08,LATS AND SHOULDERS,3.2,FRONT ARM RAISE,2,20,11,220
2021-11-08,LATS AND SHOULDERS,3.2,FRONT ARM RAISE,3,20,9,180
2021-11-08,LATS AND SHOULDERS,3.2,FRONT ARM RAISE,4,20,10,200
